table,scene_id,file,rows,min_ts,max_ts,unique_ts,duration_s,unique_agents,intersect_id,intersect_id_variants,city
infrastructure-trajectories/val/data,10,10.csv,2548,1648865709.8,1648865717.7,79,7.900000095367432,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,10,10.csv,3379,1648865709.8,1648865717.7,80,7.900000095367432,102,yizhuang#4-1_po,1,PEK
traffic-light/val/data,10,10.csv,456,1648865709.8,1648865717.7,76,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,11,11.csv,3047,1648865710.2,1648865718.1,80,7.8999998569488525,93,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,11,11.csv,2541,1648865710.2,1648865718.1,79,7.8999998569488525,47,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,11,11.csv,3391,1648865710.2,1648865718.1,80,7.8999998569488525,106,yizhuang#4-1_po,1,PEK
traffic-light/train/data,11,11.csv,456,1648865710.2,1648865718.1,76,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,12,12.csv,3056,1648865710.6,1648865718.5,80,7.900000095367432,94,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,12,12.csv,2534,1648865710.6,1648865718.5,79,7.900000095367432,44,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,12,12.csv,3402,1648865710.6,1648865718.5,80,7.900000095367432,104,yizhuang#4-1_po,1,PEK
traffic-light/train/data,12,12.csv,462,1648865710.6,1648865718.5,77,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,14,14.csv,3085,1648865711.4,1648865719.3,80,7.8999998569488525,92,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,14,14.csv,2532,1648865711.4,1648865719.3,79,7.8999998569488525,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,14,14.csv,3441,1648865711.4,1648865719.3,80,7.8999998569488525,100,yizhuang#4-1_po,1,PEK
traffic-light/train/data,14,14.csv,468,1648865711.4,1648865719.3,78,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,15,15.csv,3089,1648865711.8,1648865719.7,80,7.900000095367432,89,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,15,15.csv,2470,1648865711.8,1648865719.5,77,7.700000047683716,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,15,15.csv,3468,1648865711.8,1648865719.7,80,7.900000095367432,96,yizhuang#4-1_po,1,PEK
traffic-light/train/data,15,15.csv,456,1648865711.8,1648865719.5,76,7.700000047683716,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,16,16.csv,3102,1648865712.2,1648865720.1,80,7.8999998569488525,90,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,16,16.csv,2346,1648865712.2,1648865719.5,73,7.299999952316284,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,16,16.csv,3495,1648865712.2,1648865720.1,80,7.8999998569488525,93,yizhuang#4-1_po,1,PEK
traffic-light/val/data,16,16.csv,444,1648865712.2,1648865720.0,74,7.799999952316284,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,18,18.csv,3076,1648865713.0,1648865720.9,80,7.900000095367432,89,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,18,18.csv,2152,1648865713.0,1648865720.9,67,7.900000095367432,46,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,18,18.csv,3508,1648865713.0,1648865720.9,80,7.900000095367432,94,yizhuang#4-1_po,1,PEK
traffic-light/train/data,18,18.csv,420,1648865713.0,1648865720.9,70,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,19,19.csv,3070,1648865713.4,1648865721.3,80,7.8999998569488525,91,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,19,19.csv,2140,1648865713.4,1648865721.3,67,7.8999998569488525,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,19,19.csv,3510,1648865713.4,1648865721.3,80,7.8999998569488525,93,yizhuang#4-1_po,1,PEK
traffic-light/train/data,19,19.csv,420,1648865713.4,1648865721.3,70,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,20,20.csv,3072,1648865713.8,1648865721.7,80,7.900000095367432,94,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,20,20.csv,2129,1648865713.8,1648865721.7,67,7.900000095367432,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,20,20.csv,3510,1648865713.8,1648865721.7,80,7.900000095367432,89,yizhuang#4-1_po,1,PEK
traffic-light/val/data,20,20.csv,420,1648865713.8,1648865721.7,70,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,21,21.csv,3073,1648865714.2,1648865722.1,80,7.8999998569488525,92,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,21,21.csv,2116,1648865714.2,1648865722.1,67,7.8999998569488525,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,21,21.csv,3509,1648865714.2,1648865722.1,80,7.8999998569488525,86,yizhuang#4-1_po,1,PEK
traffic-light/train/data,21,21.csv,420,1648865714.2,1648865722.1,70,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,22,22.csv,3081,1648865714.6,1648865722.5,80,7.900000095367432,90,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,22,22.csv,2101,1648865714.6,1648865722.5,67,7.900000095367432,46,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,22,22.csv,3506,1648865714.6,1648865722.5,80,7.900000095367432,84,yizhuang#4-1_po,1,PEK
traffic-light/train/data,22,22.csv,420,1648865714.6,1648865722.5,70,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,23,23.csv,3076,1648865715.0,1648865722.9,80,7.900000095367432,88,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,23,23.csv,2091,1648865715.0,1648865722.9,67,7.900000095367432,44,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,23,23.csv,3513,1648865715.0,1648865722.9,80,7.900000095367432,84,yizhuang#4-1_po,1,PEK
traffic-light/train/data,23,23.csv,420,1648865715.0,1648865722.9,70,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,24,24.csv,3054,1648865715.4,1648865723.3,80,7.8999998569488525,86,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,24,24.csv,2079,1648865715.4,1648865723.3,67,7.8999998569488525,44,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,24,24.csv,3517,1648865715.4,1648865723.3,80,7.8999998569488525,80,yizhuang#4-1_po,1,PEK
traffic-light/train/data,24,24.csv,420,1648865715.4,1648865723.3,70,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,25,25.csv,3030,1648865715.8,1648865723.7,80,7.900000095367432,83,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,25,25.csv,2066,1648865715.8,1648865723.7,67,7.900000095367432,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,25,25.csv,3483,1648865715.8,1648865723.6,79,7.799999952316284,83,yizhuang#4-1_po,1,PEK
traffic-light/val/data,25,25.csv,420,1648865715.8,1648865723.7,70,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,26,26.csv,3007,1648865716.2,1648865724.1,80,7.8999998569488525,82,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,26,26.csv,2052,1648865716.2,1648865724.1,67,7.8999998569488525,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,26,26.csv,3396,1648865716.2,1648865724.1,77,7.8999998569488525,81,yizhuang#4-1_po,1,PEK
traffic-light/train/data,26,26.csv,420,1648865716.2,1648865724.1,70,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,27,27.csv,2986,1648865716.6,1648865724.5,80,7.900000095367432,83,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,27,27.csv,2043,1648865716.6,1648865724.5,67,7.900000095367432,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,27,27.csv,3380,1648865716.6,1648865724.5,77,7.900000095367432,81,yizhuang#4-1_po,1,PEK
traffic-light/val/data,27,27.csv,420,1648865716.6,1648865724.5,70,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,28,28.csv,2959,1648865717.0,1648865724.9,80,7.900000095367432,85,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,28,28.csv,2068,1648865717.0,1648865724.9,68,7.900000095367432,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,28,28.csv,3354,1648865717.0,1648865724.9,77,7.900000095367432,81,yizhuang#4-1_po,1,PEK
traffic-light/train/data,28,28.csv,420,1648865717.0,1648865724.9,70,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,30,30.csv,2897,1648865717.8,1648865725.7,80,7.900000095367432,81,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,30,30.csv,2063,1648865717.8,1648865725.7,68,7.900000095367432,42,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,30,30.csv,3328,1648865717.8,1648865725.7,77,7.900000095367432,81,yizhuang#4-1_po,1,PEK
traffic-light/train/data,30,30.csv,426,1648865717.8,1648865725.7,71,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,31,31.csv,2880,1648865718.2,1648865726.1,80,7.8999998569488525,79,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,31,31.csv,2060,1648865718.2,1648865726.1,68,7.8999998569488525,42,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,31,31.csv,3310,1648865718.2,1648865726.1,77,7.8999998569488525,85,yizhuang#4-1_po,1,PEK
traffic-light/train/data,31,31.csv,426,1648865718.2,1648865726.1,71,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,32,32.csv,2845,1648865718.6,1648865726.5,80,7.900000095367432,80,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,32,32.csv,2054,1648865718.6,1648865726.5,68,7.900000095367432,40,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,32,32.csv,3293,1648865718.6,1648865726.5,77,7.900000095367432,86,yizhuang#4-1_po,1,PEK
traffic-light/train/data,32,32.csv,426,1648865718.6,1648865726.5,71,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,34,34.csv,2779,1648865719.4,1648865727.3,80,7.8999998569488525,76,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,34,34.csv,2046,1648865719.4,1648865727.3,68,7.8999998569488525,38,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,34,34.csv,3274,1648865719.4,1648865727.3,77,7.8999998569488525,85,yizhuang#4-1_po,1,PEK
traffic-light/train/data,34,34.csv,426,1648865719.4,1648865727.3,71,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,35,35.csv,2743,1648865719.8,1648865727.7,80,7.900000095367432,77,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,35,35.csv,2104,1648865720.8,1648865727.7,70,6.900000095367432,35,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,35,35.csv,3272,1648865719.8,1648865727.7,77,7.900000095367432,85,yizhuang#4-1_po,1,PEK
traffic-light/train/data,35,35.csv,438,1648865719.8,1648865727.7,73,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,36,36.csv,2699,1648865720.2,1648865728.1,80,7.8999998569488525,76,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,36,36.csv,2221,1648865720.8,1648865728.1,74,7.299999952316284,35,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,36,36.csv,3263,1648865720.2,1648865728.1,77,7.8999998569488525,82,yizhuang#4-1_po,1,PEK
traffic-light/train/data,36,36.csv,450,1648865720.3,1648865728.1,75,7.799999952316284,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,37,37.csv,2672,1648865720.6,1648865728.5,80,7.900000095367432,72,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,37,37.csv,2339,1648865720.8,1648865728.5,78,7.700000047683716,36,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,37,37.csv,3250,1648865720.6,1648865728.5,77,7.900000095367432,81,yizhuang#4-1_po,1,PEK
traffic-light/val/data,37,37.csv,456,1648865720.8,1648865728.5,76,7.700000047683716,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,38,38.csv,2663,1648865721.0,1648865728.9,80,7.900000095367432,72,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,38,38.csv,2396,1648865721.0,1648865728.9,80,7.900000095367432,34,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,38,38.csv,3240,1648865721.0,1648865728.9,77,7.900000095367432,84,yizhuang#4-1_po,1,PEK
traffic-light/val/data,38,38.csv,462,1648865721.0,1648865728.9,77,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,39,39.csv,2635,1648865721.4,1648865729.3,80,7.8999998569488525,71,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,39,39.csv,2397,1648865721.4,1648865729.3,80,7.8999998569488525,35,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,39,39.csv,3222,1648865721.4,1648865729.3,77,7.8999998569488525,83,yizhuang#4-1_po,1,PEK
traffic-light/val/data,39,39.csv,456,1648865721.4,1648865729.2,76,7.799999952316284,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,40,40.csv,2610,1648865721.8,1648865729.7,80,7.900000095367432,68,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,40,40.csv,2399,1648865721.8,1648865729.7,80,7.900000095367432,35,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,40,40.csv,3200,1648865721.8,1648865729.7,77,7.900000095367432,82,yizhuang#4-1_po,1,PEK
traffic-light/train/data,40,40.csv,450,1648865721.8,1648865729.7,75,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,41,41.csv,2587,1648865722.2,1648865730.1,80,7.8999998569488525,66,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,41,41.csv,2399,1648865722.2,1648865730.1,80,7.8999998569488525,35,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,41,41.csv,3180,1648865722.2,1648865730.1,77,7.8999998569488525,81,yizhuang#4-1_po,1,PEK
traffic-light/train/data,41,41.csv,450,1648865722.2,1648865730.1,75,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,42,42.csv,2567,1648865722.6,1648865730.5,80,7.900000095367432,67,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,42,42.csv,2398,1648865722.6,1648865730.5,80,7.900000095367432,35,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,42,42.csv,3164,1648865722.6,1648865730.5,77,7.900000095367432,82,yizhuang#4-1_po,1,PEK
traffic-light/train/data,42,42.csv,444,1648865722.6,1648865730.5,74,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,43,43.csv,2560,1648865723.0,1648865730.9,80,7.900000095367432,67,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,43,43.csv,2394,1648865723.0,1648865730.9,80,7.900000095367432,34,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,43,43.csv,3143,1648865723.0,1648865730.9,77,7.900000095367432,85,yizhuang#4-1_po,1,PEK
traffic-light/train/data,43,43.csv,444,1648865723.0,1648865730.9,74,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,44,44.csv,2565,1648865723.4,1648865731.3,80,7.8999998569488525,64,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,44,44.csv,2397,1648865723.4,1648865731.3,80,7.8999998569488525,37,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,44,44.csv,3121,1648865723.4,1648865731.3,77,7.8999998569488525,86,yizhuang#4-1_po,1,PEK
traffic-light/train/data,44,44.csv,450,1648865723.4,1648865731.3,75,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,45,45.csv,2583,1648865723.8,1648865731.7,80,7.900000095367432,68,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,45,45.csv,2399,1648865723.8,1648865731.7,80,7.900000095367432,38,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,45,45.csv,3146,1648865724.0,1648865731.7,78,7.700000047683716,82,yizhuang#4-1_po,1,PEK
traffic-light/val/data,45,45.csv,450,1648865723.8,1648865731.7,75,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,47,47.csv,2599,1648865724.6,1648865732.5,80,7.900000095367432,72,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,47,47.csv,2392,1648865724.6,1648865732.5,80,7.900000095367432,37,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,47,47.csv,3216,1648865724.6,1648865732.5,80,7.900000095367432,81,yizhuang#4-1_po,1,PEK
traffic-light/train/data,47,47.csv,444,1648865724.6,1648865732.5,74,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,49,49.csv,2635,1648865725.4,1648865733.3,80,7.8999998569488525,69,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,49,49.csv,2388,1648865725.4,1648865733.3,80,7.8999998569488525,39,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,49,49.csv,3222,1648865725.4,1648865733.3,80,7.8999998569488525,81,yizhuang#4-1_po,1,PEK
traffic-light/val/data,49,49.csv,444,1648865725.4,1648865733.3,74,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,50,50.csv,2660,1648865725.8,1648865733.7,80,7.900000095367432,67,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,50,50.csv,2384,1648865725.8,1648865733.7,80,7.900000095367432,39,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,50,50.csv,3226,1648865725.8,1648865733.7,80,7.900000095367432,78,yizhuang#4-1_po,1,PEK
traffic-light/val/data,50,50.csv,444,1648865725.8,1648865733.7,74,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,51,51.csv,2679,1648865726.2,1648865734.1,80,7.8999998569488525,67,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,51,51.csv,2382,1648865726.2,1648865734.1,80,7.8999998569488525,39,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,51,51.csv,3220,1648865726.2,1648865734.1,80,7.8999998569488525,78,yizhuang#4-1_po,1,PEK
traffic-light/train/data,51,51.csv,438,1648865726.2,1648865734.0,73,7.799999952316284,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,52,52.csv,2701,1648865726.6,1648865734.5,80,7.900000095367432,66,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,52,52.csv,2386,1648865726.6,1648865734.5,80,7.900000095367432,40,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,52,52.csv,3216,1648865726.6,1648865734.5,80,7.900000095367432,81,yizhuang#4-1_po,1,PEK
traffic-light/train/data,52,52.csv,444,1648865726.6,1648865734.5,73,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,53,53.csv,2725,1648865727.0,1648865734.9,80,7.900000095367432,67,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,53,53.csv,2390,1648865727.0,1648865734.9,80,7.900000095367432,40,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,53,53.csv,3205,1648865727.0,1648865734.9,80,7.900000095367432,82,yizhuang#4-1_po,1,PEK
traffic-light/train/data,53,53.csv,444,1648865727.0,1648865734.9,73,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,54,54.csv,2744,1648865727.4,1648865735.3,80,7.8999998569488525,64,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,54,54.csv,2394,1648865727.4,1648865735.3,80,7.8999998569488525,40,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,54,54.csv,3202,1648865727.4,1648865735.3,80,7.8999998569488525,82,yizhuang#4-1_po,1,PEK
traffic-light/train/data,54,54.csv,438,1648865727.4,1648865735.2,72,7.799999952316284,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,55,55.csv,2769,1648865727.8,1648865735.7,80,7.900000095367432,66,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,55,55.csv,2401,1648865727.8,1648865735.7,80,7.900000095367432,41,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,55,55.csv,3193,1648865727.8,1648865735.7,80,7.900000095367432,83,yizhuang#4-1_po,1,PEK
traffic-light/train/data,55,55.csv,438,1648865727.8,1648865735.7,72,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,56,56.csv,2805,1648865728.2,1648865736.1,80,7.8999998569488525,68,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,56,56.csv,2413,1648865728.2,1648865736.1,80,7.8999998569488525,41,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,56,56.csv,3195,1648865728.2,1648865736.1,80,7.8999998569488525,87,yizhuang#4-1_po,1,PEK
traffic-light/val/data,56,56.csv,438,1648865728.2,1648865736.1,72,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,57,57.csv,2843,1648865728.6,1648865736.5,80,7.900000095367432,68,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,57,57.csv,2423,1648865728.6,1648865736.5,80,7.900000095367432,41,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,57,57.csv,3195,1648865728.6,1648865736.5,80,7.900000095367432,86,yizhuang#4-1_po,1,PEK
traffic-light/train/data,57,57.csv,438,1648865728.7,1648865736.5,72,7.799999952316284,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,58,58.csv,2879,1648865729.0,1648865736.9,80,7.900000095367432,71,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,58,58.csv,2434,1648865729.0,1648865736.9,80,7.900000095367432,41,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,58,58.csv,3206,1648865729.0,1648865736.9,80,7.900000095367432,85,yizhuang#4-1_po,1,PEK
traffic-light/val/data,58,58.csv,438,1648865729.0,1648865736.8,72,7.799999952316284,,yizhuang#4-1_po,1,PEK
